overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
1,RB,1,Jahmyr Gibbs,DET,57,6,6/10/2026
2,RB,2,Bijan Robinson,ATL,56,11,6/10/2026
3,WR,1,Puka Nacua,LAR,56,11,6/10/2026
4,WR,2,Ja'Marr Chase,CIN,55,6,6/10/2026
5,WR,3,Jaxon Smith-Njigba,SEA,54,11,6/10/2026
6,RB,3,Christian McCaffrey,SF,53,8,6/10/2026
7,RB,4,Jonathan Taylor,IND,52,13,6/10/2026
8,WR,4,Amon-Ra St. Brown,DET,52,6,6/10/2026
9,WR,5,CeeDee Lamb,DAL,51,14,6/10/2026
10,RB,5,Derrick Henry,BAL,50,13,6/10/2026
11,WR,6,Justin Jefferson,MIN,48,6,6/10/2026
12,RB,6,James Cook III,BUF,46,7,6/10/2026
13,WR,7,Drake London,ATL,45,11,6/10/2026
14,WR,8,Rashee Rice,KC,43,5,6/10/2026
15,RB,7,De'Von Achane,MIA,42,6,6/10/2026
16,TE,1,Trey McBride,ARI,40,14,6/10/2026
17,RB,8,Jeremiyah Love,ARI,38,14,6/10/2026
18,RB,9,Ashton Jeanty,LV,37,13,6/10/2026
19,RB,10,Omarion Hampton,LAC,36,7,6/10/2026
20,RB,11,Saquon Barkley,PHI,35,10,6/10/2026
21,RB,12,Josh Jacobs,GB,34,11,6/10/2026
22,RB,13,Breece Hall,NYJ,33,13,6/10/2026
23,RB,14,Kenneth Walker III,KC,32,5,6/10/2026
24,TE,2,Brock Bowers,LV,32,13,6/10/2026
25,WR,9,Nico Collins,HOU,31,8,6/10/2026
26,WR,10,A.J. Brown,NE,30,11,6/10/2026
27,WR,11,George Pickens,DAL,30,14,6/10/2026
28,WR,12,Tetairoa McMillan,CAR,29,5,6/10/2026
29,WR,13,Chris Olave,NO,28,8,6/10/2026
30,RB,15,Chase Brown,CIN,27,6,6/10/2026
31,RB,16,Kyren Williams,LAR,26,11,6/10/2026
32,WR,14,Garrett Wilson,NYJ,25,13,6/10/2026
33,WR,15,Davante Adams,LAR,24,11,6/10/2026
34,WR,16,Malik Nabers,NYG,23,8,6/10/2026
35,WR,17,Zay Flowers,BAL,22,13,6/10/2026
36,QB,1,Josh Allen,BUF,22,7,6/10/2026
37,RB,17,Javonte Williams,DAL,22,14,6/10/2026
38,RB,18,Travis Etienne Jr.,NO,21,8,6/10/2026
39,RB,19,Quinshon Judkins,CLE,21,11,6/10/2026
40,RB,20,Cam Skattebo,NYG,20,8,6/10/2026
41,RB,21,Bucky Irving,TB,19,10,6/10/2026
42,WR,18,DeVonta Smith,PHI,19,10,6/10/2026
