overall_rank,position,position_rank,name,team,auction_value,bye_week,source_last_update_date
58,WR,28,Rome Odunze,CHI,,10,9/5/2026
59,WR,29,Parker Washington,JAC,,7,9/5/2026
60,RB,21,David Montgomery,HOU,,8,9/5/2026
61,RB,22,Quinshon Judkins,CLE,,11,9/5/2026
62,WR,30,Mike Evans,SF,,8,9/5/2026
63,QB,7,Caleb Williams,CHI,,10,9/5/2026
64,RB,23,Bhayshul Tuten,JAC,,7,9/5/2026
65,RB,24,Jadarian Price,SEA,,11,9/5/2026
66,WR,31,Marvin Harrison Jr.,ARI,,14,9/5/2026
67,WR,32,Carnell Tate,TEN,,9,9/5/2026
68,RB,25,TreVeyon Henderson,NE,,11,9/5/2026
69,QB,8,Justin Herbert,LAC,,7,9/5/2026
70,RB,26,Rhamondre Stevenson,NE,,11,9/5/2026
71,RB,27,Jaylen Warren,PIT,,9,9/5/2026
72,WR,33,Chris Godwin Jr.,TB,,10,9/5/2026
73,QB,9,Trevor Lawrence,JAC,,7,9/5/2026
74,TE,5,Harold Fannin Jr.,CLE,,11,9/5/2026
75,QB,10,Dak Prescott,DAL,,14,9/5/2026
76,TE,6,Kyle Pitts Sr.,ATL,,11,9/5/2026
77,TE,7,Tucker Kraft,GB,,11,9/5/2026
78,WR,34,DK Metcalf,PIT,,9,9/5/2026
79,WR,35,Brian Thomas Jr.,JAC,,7,9/5/2026
80,WR,36,Michael Pittman Jr.,PIT,,9,9/5/2026
81,RB,28,Tony Pollard,TEN,,9,9/5/2026
82,WR,37,Courtland Sutton,DEN,,10,9/5/2026
83,RB,29,Rico Dowdle,PIT,,9,9/5/2026
84,WR,38,Wan'Dale Robinson,TEN,,9,9/5/2026
85,TE,8,Sam LaPorta,DET,,6,9/5/2026
86,RB,30,Jonathon Brooks,CAR,,5,9/5/2026
87,WR,39,Michael Wilson,ARI,,14,9/5/2026
88,WR,40,Josh Downs,IND,,13,9/5/2026
89,WR,41,Quentin Johnston,LAC,,7,9/5/2026
90,RB,31,RJ Harvey,DEN,,10,9/5/2026
91,QB,11,Brock Purdy,SF,,8,9/5/2026
92,WR,42,Stefon Diggs,WAS,,7,9/5/2026
93,RB,32,Kenny Gainwell,TB,,10,9/5/2026
94,QB,12,Bo Nix,DEN,,10,9/5/2026
95,TE,9,George Kittle,SF,,8,9/5/2026
96,QB,13,Jaxson Dart,NYG,,8,9/5/2026
97,TE,10,Travis Kelce,KC,,5,9/5/2026
98,RB,33,Chuba Hubbard,CAR,,5,9/5/2026
99,WR,43,Alec Pierce,IND,,13,9/5/2026
100,RB,34,J.K. Dobbins,DEN,,10,9/5/2026
101,QB,14,Patrick Mahomes II,KC,,5,9/5/2026
102,WR,44,Jayden Reed,GB,,11,9/5/2026
103,QB,15,Jared Goff,DET,,6,9/5/2026
104,QB,16,Matthew Stafford,LAR,,11,9/5/2026
105,WR,45,Jakobi Meyers,JAC,,7,9/5/2026
106,RB,35,Blake Corum,LAR,,11,9/5/2026
107,RB,36,MarShawn Lloyd,GB,,11,9/5/2026
108,WR,46,Jordan Addison,MIN,,6,9/5/2026
109,WR,47,Makai Lemon,PHI,,10,9/5/2026
110,WR,48,KC Concepcion,CLE,,11,9/5/2026
111,RB,37,Rachaad White,WAS,,7,9/5/2026
112,TE,11,Dalton Kincaid,BUF,,7,9/5/2026
113,RB,38,Jordan Mason,MIN,,6,9/5/2026
114,QB,17,Kyler Murray,MIN,,6,9/5/2026
115,RB,39,Jacory Croskey-Merritt,WAS,,7,9/5/2026
116,QB,18,Jordan Love,GB,,11,9/5/2026
117,RB,40,Aaron Jones Sr.,MIN,,6,9/5/2026
118,QB,19,Baker Mayfield,TB,,10,9/5/2026
119,TE,12,Isaiah Likely,NYG,,8,9/5/2026
120,RB,41,Kyle Monangai,CHI,,10,9/5/2026
121,TE,13,Dallas Goedert,PHI,,10,9/5/2026
122,TE,14,Jake Ferguson,DAL,,14,9/5/2026
123,WR,49,De'Zhaun Stribling,SF,,8,9/5/2026
124,WR,50,Khalil Shakir,BUF,,7,9/5/2026
125,QB,20,Tyler Shough,NO,,8,9/5/2026
126,WR,51,Jalen Coker,CAR,,5,9/5/2026
127,WR,52,Matthew Golden,GB,,11,9/5/2026
128,WR,53,Romeo Doubs,NE,,11,9/5/2026
129,TE,15,Juwan Johnson,NO,,8,9/5/2026
130,QB,21,Malik Willis,MIA,,6,9/5/2026
131,WR,54,Xavier Worthy,KC,,5,9/5/2026
132,TE,16,Mark Andrews,BAL,,13,9/5/2026
133,RB,42,Woody Marks,HOU,,8,9/5/2026
134,RB,43,Tyler Allgeier,ARI,,14,9/5/2026
135,QB,22,Sam Darnold,SEA,,11,9/5/2026
136,RB,44,Tyjae Spears,TEN,,9,9/5/2026
137,RB,45,Chris Rodriguez Jr.,JAC,,7,9/5/2026
138,WR,55,Jordyn Tyson,NO,,8,9/5/2026
139,QB,23,C.J. Stroud,HOU,,8,9/5/2026
140,RB,46,Jonah Coleman,DEN,,10,9/5/2026
141,QB,24,Daniel Jones,IND,,13,9/5/2026
142,WR,56,Deebo Samuel Sr.,SF,,8,9/5/2026
143,WR,57,Rashid Shaheed,SEA,,11,9/5/2026
144,RB,47,Dylan Sampson,CLE,,11,9/5/2026
145,RB,48,Keaton Mitchell,LAC,,7,9/5/2026
146,RB,49,Mike Washington Jr.,LV,,13,9/5/2026
